CustomerID,Gender,Age,AnnualIncome,SpendingScore,VisitFrequency,AvgPurchaseValue,SatisfactionScore,ComplaintsCount,LoyaltyPoints,CustomerSegment,ChurnRisk
6253,Female,37,31,22,3,1113.68,4.6,1,668,Budget Shopper,Medium
4685,Female,50,65,47,8,2224.08,6.1,0,3559,Regular Customer,Medium
1732,Female,39,107,81,13,4000.16,8.1,3,10000,Premium Customer,Low
4743,Female,40,64,49,10,2636.17,7.4,0,5272,Regular Customer,Medium
4522,Male,52,45,67,11,2273.39,7.0,2,5001,Regular Customer,Medium
6341,Female,22,30,26,3,1334.53,6.3,0,801,Budget Shopper,Medium
577,Male,24,112,92,14,4804.24,8.5,3,10000,Premium Customer,Low
5203,Male,18,55,62,8,2857.24,8.0,0,4572,Regular Customer,Medium
6364,Female,31,30,21,4,1325.72,5.3,1,1061,Budget Shopper,Medium
440,Female,44,110,77,16,4056.05,9.6,0,10000,Premium Customer,Low
2751,Male,51,88,64,7,3157.88,7.5,2,4421,Potential Loyalist,Low
7488,Female,36,38,28,4,1242.86,4.8,3,994,Budget Shopper,Medium
5273,Female,29,58,50,7,2342.93,6.1,1,3280,Regular Customer,Medium
5654,Female,39,52,64,8,2680.71,8.3,2,4289,Regular Customer,Medium
4000,Female,53,80,70,10,3372.15,8.2,1,6744,Potential Loyalist,Low
6034,Male,35,26,26,5,1108.86,4.5,2,1109,Budget Shopper,Medium
583,Female,38,115,85,13,4280.48,8.8,1,10000,Premium Customer,Low
9931,Female,31,47,17,2,1276.34,3.0,2,511,At-Risk Customer,High
7052,Female,33,23,34,4,1057.17,3.7,0,846,Budget Shopper,Medium
8159,Female,52,41,17,3,1234.08,3.0,3,740,At-Risk Customer,High
9897,Male,19,48,10,0,1095.84,2.6,2,0,At-Risk Customer,High
2250,Female,18,84,76,8,3530.01,8.0,1,5648,Potential Loyalist,Low
4641,Female,32,45,65,2,2470.9,7.0,1,988,Regular Customer,Medium
9486,Male,41,49,6,2,934.24,4.3,2,374,At-Risk Customer,High
4948,Female,62,62,66,6,3060.01,6.6,0,3672,Regular Customer,Medium
9921,Male,39,35,25,1,1503.91,2.8,6,301,At-Risk Customer,High
1964,Male,21,115,89,12,4614.08,8.3,2,10000,Premium Customer,Low
8244,Female,38,56,15,1,1526.88,3.7,1,305,At-Risk Customer,High
6591,Female,18,31,17,3,1074.71,4.9,0,645,Budget Shopper,Medium
8848,Male,50,63,11,1,1361.78,2.6,3,272,At-Risk Customer,High
322,Male,37,115,89,15,4385.78,8.4,0,10000,Premium Customer,Low
2679,Female,45,87,66,9,3525.04,9.4,2,6345,Potential Loyalist,Low
4626,Male,37,54,54,9,2592.93,7.6,0,4667,Regular Customer,Medium
4950,Male,24,51,67,4,2553.92,8.1,3,2043,Regular Customer,Medium
8329,Male,42,56,11,0,1510.72,4.0,2,0,At-Risk Customer,High
3338,Female,40,96,69,9,3415.59,6.7,1,6148,Potential Loyalist,Low
5590,Female,22,53,63,10,2836.85,7.1,0,5674,Regular Customer,Medium
252,Female,41,117,93,13,4810.16,9.5,2,10000,Premium Customer,Low
3974,Male,23,68,54,10,2859.29,8.4,0,5719,Potential Loyalist,Low
6631,Female,31,35,23,2,1178.26,5.4,2,471,Budget Shopper,Medium
5548,Female,54,67,55,11,2465.46,6.4,2,5424,Regular Customer,Medium
36,Female,49,100,99,12,4448.34,9.2,0,10000,Premium Customer,Low
8363,Female,18,46,17,2,1514.92,2.0,2,606,At-Risk Customer,High
1514,Female,41,95,76,11,3873.43,8.6,0,8522,Premium Customer,Low
9318,Male,35,54,4,3,1101.37,2.7,5,661,At-Risk Customer,High
40,Female,30,112,76,15,4345.58,9.0,0,10000,Premium Customer,Low
4820,Female,35,59,56,9,2577.87,6.4,0,4640,Regular Customer,Medium
3466,Female,34,86,69,10,3567.2,7.0,1,7134,Potential Loyalist,Low
1761,Female,38,123,87,16,4456.51,9.5,1,10000,Premium Customer,Low
2305,Male,28,87,64,10,3342.6,8.7,2,6685,Potential Loyalist,Low
3724,Female,42,75,76,8,3151.72,7.7,0,5043,Potential Loyalist,Low
8285,Male,44,50,15,1,1411.36,3.2,5,282,At-Risk Customer,High
4994,Female,50,45,53,7,2139.62,8.7,1,2995,Regular Customer,Medium
