CustomerID,Gender,Age,AnnualIncome,SpendingScore,VisitFrequency,AvgPurchaseValue,SatisfactionScore,ComplaintsCount,LoyaltyPoints,CustomerSegment,ChurnRisk
8986,Male,29.0,41.0,13.0,2.0,1245.77,3.2,6.0,498.0,At-Risk Customer,High
4373,Male,31.0,59.0,48.0,8.0,2423.7,6.2,0.0,3878.0,,Medium
9754,Male,45.0,45.0,13.0,3.0,1673.76,2.6,1.0,1004.0,,High
6351,Female,53.0,24.0,31.0,2.0,1349.76,4.6,2.0,540.0,Budget Shopper,Medium
317,Female,24.0,115.0,89.0,12.0,4553.66,8.4,1.0,10000.0,Premium Customer,Low
1887,,29.0,104.0,74.0,17.0,3687.5,9.5,1.0,,Premium Customer,Low
8772,Female,,42.0,20.0,1.0,1491.72,3.7,2.0,298.0,At-Risk Customer,High
2317,Male,42.0,84.0,72.0,11.0,3270.52,8.0,1.0,7195.0,Potential Loyalist,Low
4780,Female,31.0,66.0,,8.0,2282.31,6.6,1.0,,Regular Customer,Medium
1003,Male,18.0,,83.0,15.0,4503.66,9.4,1.0,10000.0,,Low
7622,Male,18.0,32.0,21.0,4.0,1042.74,5.4,2.0,834.0,Budget Shopper,Medium
3028,Male,36.0,,68.0,11.0,3472.04,10.0,,7638.0,Potential Loyalist,Low
1632,Female,48.0,,82.0,12.0,4239.67,8.6,0.0,10000.0,Premium Customer,Low
5182,Male,42.0,51.0,52.0,7.0,2156.43,6.3,2.0,3019.0,Regular Customer,Medium
8282,,23.0,48.0,,2.0,1323.22,3.5,3.0,529.0,At-Risk Customer,High
3310,Male,43.0,83.0,71.0,11.0,3120.82,8.9,1.0,6866.0,Potential Loyalist,Low
4958,Female,31.0,55.0,58.0,10.0,2443.81,8.7,2.0,4888.0,Regular Customer,Medium
3430,Female,26.0,77.0,72.0,14.0,3530.73,8.0,0.0,9886.0,Potential Loyalist,Low
5324,Female,41.0,70.0,,,2523.92,6.8,1.0,4038.0,Regular Customer,Medium
2956,Male,56.0,82.0,75.0,10.0,3710.12,8.2,0.0,0.0,Potential Loyalist,Low
7153,Male,53.0,24.0,22.0,3.0,,4.8,1.0,653.0,Budget Shopper,
8160,Female,58.0,49.0,14.0,1.0,1723.66,1.8,4.0,345.0,At-Risk Customer,High
5904,Female,49.0,61.0,,8.0,2204.9,6.8,0.0,3528.0,Regular Customer,Medium
7523,Male,45.0,36.0,27.0,3.0,1233.96,5.1,0.0,740.0,Budget Shopper,Medium
1738,,55.0,101.0,84.0,16.0,,8.3,,10000.0,,Low
4608,Male,37.0,49.0,,8.0,2416.03,7.9,3.0,3866.0,Regular Customer,Medium
810,,33.0,103.0,82.0,13.0,3806.55,8.2,3.0,9897.0,Premium Customer,Low
2226,Male,20.0,78.0,79.0,13.0,3762.77,7.0,,9783.0,Potential Loyalist,Low
9477,Male,45.0,36.0,10.0,2.0,630.11,,4.0,252.0,At-Risk Customer,High
3062,Male,46.0,77.0,69.0,14.0,3307.04,7.1,0.0,9260.0,Potential Loyalist,Low
8285,Male,44.0,50.0,15.0,1.0,,,,282.0,At-Risk Customer,High
380,Male,29.0,104.0,86.0,11.0,3942.31,8.8,,8673.0,Premium Customer,Low
7375,Female,47.0,24.0,31.0,3.0,1565.02,5.1,2.0,939.0,Budget Shopper,Medium
5791,MALE,32.0,41.0,56.0,7.0,2530.62,8.7,0.0,3543.0,Regular Customer,Medium
8848,Male,50.0,63.0,11.0,1.0,1361.78,2.6,3.0,272.0,At-Risk Customer,High
9948,,34.0,37.0,,3.0,,1.5,3.0,353.0,,High
6330,Female,49.0,32.0,21.0,3.0,1062.32,2.8,,637.0,Budget Shopper,Medium
8306,Male,48.0,55.0,15.0,1.0,1663.52,2.1,2.0,333.0,At-Risk Customer,High
6455,Male,,29.0,32.0,4.0,1516.38,6.0,0.0,1213.0,Budget Shopper,Medium
417,Female,,,88.0,,4629.15,9.3,1.0,,Premium Customer,Low
4182,Male,57.0,48.0,52.0,8.0,2287.0,7.3,0.0,3659.0,Regular Customer,Medium
7458,Male,39.0,35.0,23.0,1.0,1148.65,6.4,0.0,230.0,Budget Shopper,Medium
6604,Female,35.0,45.0,25.0,3.0,1180.24,6.7,2.0,708.0,,Medium
4152,Male,38.0,51.0,55.0,7.0,2409.28,6.1,0.0,3373.0,Regular Customer,Medium
8804,Female,37.0,42.0,23.0,1.0,1429.29,3.3,3.0,286.0,At-Risk Customer,High
5157,Female,,73.0,57.0,7.0,2546.69,5.7,,3565.0,Regular Customer,Medium
6267,Male,42.0,39.0,,4.0,1431.5,5.3,0.0,1145.0,Budget Shopper,Medium
8923,Male,26.0,44.0,,0.0,1228.33,1.8,3.0,0.0,At-Risk Customer,High
9548,Male,36.0,54.0,16.0,1.0,1503.98,,,,At-Risk Customer,High
5823,Male,19.0,74.0,56.0,13.0,2816.61,6.5,0.0,7323.0,Regular Customer,Medium
