CustomerID,Gender,Age,AnnualIncome,SpendingScore,VisitFrequency,AvgPurchaseValue,SatisfactionScore,ComplaintsCount,LoyaltyPoints,CustomerSegment,ChurnRisk
6253,Female,37.0,31.0,22.0,3.0,1113.68,4.6,1,668.0,Budget Shopper,Medium
4685,Female,50.0,65.0,47.0,8.0,2224.08,6.1,0,3559.0,Regular Customer,Medium
1732,Female,39.0,107.0,81.0,13.0,4000.16,8.1,3,10000.0,Premium Customer,Low
4743,Female,40.0,64.0,49.0,10.0,2636.17,7.4,0,5272.0,Regular Customer,Medium
4522,Male,52.0,45.0,67.0,11.0,2273.39,7.0,2,5001.0,Regular Customer,Medium
6341,female,22.0,30.0,26.0,3.0,1334.53,6.3,0,,Budget Shopper,Medium
577,Male,24.0,112.0,92.0,14.0,4804.24,8.5,3,10000.0,Premium Customer,Low
5203,Male,18.0,55.0,62.0,8.0,2857.24,8.0,0,4572.0,Regular Customer,Medium
6364,Female,31.0,30.0,21.0,4.0,1325.72,5.3,1,1061.0,Budget Shopper,Medium
440,Female,44.0,110.0,77.0,16.0,4056.05,9.6,0,10000.0,Premium Customer,Low
2751,Male,51.0,88.0,64.0,7.0,3157.88,7.5,2,4421.0,Potential Loyalist,Low
7488,Female,36.0,38.0,28.0,4.0,1242.86,4.8,3,994.0,Budget Shopper,Medium
5273,Female,29.0,58.0,50.0,,2342.93,6.1,1,,Regular Customer,Medium
5654,Female,39.0,52.0,64.0,8.0,2680.71,8.3,2,4289.0,Regular Customer,Medium
4000,Female,53.0,80.0,70.0,,3372.15,8.2,1,6744.0,Potential Loyalist,Low
6034,Male,35.0,26.0,26.0,5.0,1108.86,4.5,2,1109.0,Budget Shopper,Medium
583,Female,38.0,115.0,85.0,,4280.48,8.8,1,10000.0,Premium Customer,Low
9931,Female,31.0,47.0,17.0,2.0,1276.34,3.0,2,511.0,At-Risk Customer,High
7052,Female,33.0,23.0,34.0,4.0,1057.17,3.7,0,846.0,Budget Shopper,Medium
8159,Female,52.0,41.0,17.0,3.0,1234.08,3.0,3,740.0,At-Risk Customer,High
